Symbol,Sector,Company_Name,Price,Price_Change_1d,Price_Change_3d,Price_Change_5d,Vol_Expansion,Turn_Expansion,Curr_Delivery,Avg_Delivery,Delivery_Change,RS_Score,Accumulation_Score,Market_Cap,Is_SME,Bucket,Dist_From_High,High_52w
GOODLUCK,,Goodluck India Limited,1423.4000244140625,5.063476019599727,8.350466416956968,8.391720784321308,6.919175661939106,7.403753525269925,43.57,48.948,-5.378,86.13333333333333,81.00133333333333,4731.1691776,False,BUCKET B,0.9739807821213109,1437.4000244140625
USHAMART,,Usha Martin Limited,476.0499877929688,-3.0052975482594966,-4.637424649032576,-2.147998398156463,9.174514922980912,8.842497643554077,62.7,50.982,11.718000000000004,9.973333333333333,80.97466666666666,14490.9746176,False,BUCKET A,8.416698927939402,519.7999877929688
JISLJALEQS,EMS,Jain Irrigation Systems Limited,34.869998931884766,5.125115636970525,7.856470637098065,12.411342415559243,3.3553338744233767,3.6160716105367783,40.82,48.146,-7.3260000000000005,93.38666666666666,80.79066666666667,2557.750272,False,Neutral / Other,45.490076181834574,63.970001220703125
ICICIGI,,ICICI Lombard General Insurance Company Limited,1870.0999755859373,1.6911351596485737,4.849742161023708,10.28483985586818,2.443839197071486,2.585874051682601,71.49,62.42999999999999,9.060000000000002,90.50666666666667,80.75154725757274,93350.199296,False,BUCKET A,8.737168131154723,2049.136474609375
BDL,Defense & Aerospace,Bharat Dynamics Limited,1373.4000244140625,4.695835744248281,11.053616773628312,14.43093486823383,2.8572475861256637,3.07796384510354,26.43,32.156,-5.725999999999999,95.36,80.72580919458997,50343.6935168,False,Neutral / Other,30.5436935314889,1977.3582763671875
VGUARD,,V-Guard Industries Limited,311.25,0.25768650717116365,1.7988552739165986,4.044795704626563,2.943813170637353,2.999456109596701,52.11,52.227999999999994,-0.117999999999995,63.89333333333334,80.60360502153395,13595.5185664,False,Neutral / Other,22.955435722355112,403.9869689941406
BAJAJHFL,,,88.36000061035156,2.8997295727565855,2.8637939939169126,4.456796826662385,4.448500014406213,4.57799973102347,50.2,52.30800000000001,-2.108000000000004,66.72,80.26933333333334,73592.0586752,False,Neutral / Other,28.372243698791806,123.36000061035156
DCXINDIA,EMS,DCX Systems Limited,204.32000732421875,5.684583556135224,8.548059268922175,10.886797685559774,4.281342242195612,4.6122981012407465,28.92,36.712,-7.792000000000002,91.52,80.2,2275.8475776,False,Neutral / Other,31.18221235280459,296.8999938964844
PSPPROJECT,,PSP Projects Limited,969.0999755859376,6.360088856842361,6.752587422037819,5.658521880524295,5.141477553354649,5.446457673819004,36.71,40.788,-4.077999999999996,74.02666666666666,80.05199999999999,3841.6859136,False,BUCKET B,3.3461375366475505,1002.6500244140624
HYBRIDFIN,,Hybrid Financial Services Limited,25.690000534057617,13.221683249839547,57.80097942582481,57.89797056704407,8.251877861084875,9.547166469950836,27.8,49.29,-21.49,100.0,80.0,75.621792,False,Neutral / Other,23.587146489485583,33.619998931884766
SAMHI,,SAMHI Hotels Limited,175.80999755859375,2.453374886559444,3.1869893885236147,7.535623984026851,2.91089906990469,3.04059186511279,41.84,46.926,-5.0859999999999985,83.89333333333333,79.9689906990469,3905.3508608,False,Neutral / Other,29.38506780070086,248.97000122070312
NIACL,,The New India Assurance Company Limited,202.30999755859372,13.231096228755257,25.068004716113013,32.401828218593316,6.496655698579176,7.402204936754322,4.43,19.651999999999997,-15.221999999999998,99.78666666666666,79.968,33340.686336,False,BUCKET B,0.09923327414500674,202.51095581054688
AIAENG,Industrial Manufacturing / Capital Goods,AIA Engineering Limited,4687.0,3.3995918942876298,4.354991804541383,8.152382231462225,3.3170089748015186,3.47876120729606,46.2,53.04,-6.839999999999996,85.70666666666666,79.96266666666666,43739.2572416,False,BUCKET B,0.0,4687.0
